"file source","DatasetID","CountryResponsible","ResearchInstituteResponsible","PersonResponsible","PersonContact","GeneralCommentDataset","SamplingCampaign","SamplingYear","SamplingTeamName","SamplingInstitution","SamplingAttempted","DatasetReasonDisqualified","DatasetQualified","SamplingOnlineOnWebsite","SamplingDate","SamplingCoordinatesLatitude","SamplingCoordinatesLongitude","SamplingPlace","SamplingRegion","SamplingRiver","SamplingRiverSystem","SamplingParticipants","SamplingComment","ReporterTeam_AttemptedSampling","ReporterTeam_DisqualifiedReason","ReporterTeam_Qualified","ReporterTeam_Results_SourceResidents","ReporterTeam_Results_SourceVisitors","ReporterTeam_Results_SourceFlyTippers","ReporterTeam_Results_SourceIndustry","ReporterTeam_Results_SourceAgriculture","ReporterTeam_Results_SourceShipping","ReporterTeam_Results_SourceFishing","ReporterTeam_Results_Weather_Rain","ReporterTeam_Results_Weather_Storm","ReporterTeam_Results_Weather_Heat","ReporterTeam_Results_Problems_GroupC","ReporterTeam_Results_Problems_BiggestProblems","FloatingMacro_AttemptedSampling","FloatingMacro_DisqualifiedReason","FloatingMacro_Qualified","FloatingMacro_ObservationTimeInMinutes","FloatingMacro_RiverWidth","FloatingMacro_ObservedWidth","FloatingMacro_AmountOfFloatingMacrolitter","FloatingMacro_Comment","FloatingMicro_AttemptedSampling","FloatingMicro_DisqualifiedReason","FloatingMicro_Qualified","FloatingMicro_SamplingTimeInMinutes","FloatingMicro_AmountOfVERIFIEDMicroplastics","FloatingMicro_AmountOfVERIFIEDMesoplastics","FloatingMicro_Comment","FloatingFlowVelocity_AttemptedSampling","FloatingFlowVelocity_DisqualifiedReason","FloatingFlowVelocity_Qualified","FloatingFlowVelocity_FirstStick","FloatingFlowVelocity_SecondStick","FloatingFlowVelocity_ThirdStick","FloatingFlowVelocity_Comment","FloatingTime_FirstStick","FloatingTime_SecondStick","FloatingTime_ThirdStick","FloatingDistance"
"austria_verified_data_plasticpirates_autumn2022.xlsx","at_4714","austria","institute of waste management and circularity (abf-boku)","anna noichl; magdalena kraml","anna.noichl@boku.ac.at; magdalena.kraml@boku.ac.at","na","autumn 2021",2021,"die wiener","grg3 radetzkygasse",1,"na","1",1,"2021-10-11",48.1950108,16.2635884,"wien hütteldorf","wien","wien(fluss)","danube","7","was from the previous collection period, so maybe germany is responsible?","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","1","unknown observation time","0","na","na","na","3","na","1","students used other net; we don't know the duration","0","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"austria_verified_data_plasticpirates_autumn2022.xlsx","at_6270","austria","institute of waste management and circularity (abf-boku)","anna noichl; magdalena kraml","anna.noichl@boku.ac.at; magdalena.kraml@boku.ac.at","na","autumn 2022",2022,"bgr-pirates","bgr steyr",1,"na","1",1,"2022-10-18",48.04275,14.421917,"steyr","oberösterreich","steyr","danube","9","na","0","na","na","na","na","na","na","na","na","na","na","na","na","na","na","1","observation time was <30 min (but 29 min)","1","29","28","28","2","na","1","na","1","60","0","na","na","na","na","na","na","na","na","na","na","na","na","na"
"austria_verified_data_plasticpirates_autumn2022.xlsx","at_6297","austria","institute of waste management and circularity (abf-boku)","anna noichl; magdalena kraml","anna.noichl@boku.ac.at; magdalena.kraml@boku.ac.at","na","autumn 2022",2022,"die roten drachen","jugendrotkreuz braunau",1,"na","1",1,"2022-10-22",48.2603391,13.03440477,"braunau am inn","oberösterreich","inn","danube","8","na","0","na","na","na","na","na","na","na","na","na","na","na","na","na","na","1","na","1","30","195","6","0","na","1","na","1","60","5","na","na","1","na","1","0.628140704","0.464360344","0.467398925","na","na","na","na","na"
"austria_verified_data_plasticpirates_autumn2022.xlsx","at_6349","austria","institute of waste management and circularity (abf-boku)","anna noichl; magdalena kraml","anna.noichl@boku.ac.at; magdalena.kraml@boku.ac.at","na","autumn 2022",2022,"haiho wasserpiraten","nms haidershofen",1,"na","1",1,"2022-10-19",48.076391,14.457147,"haidershofen","niederösterreich","enns","danube","16","na","1","na","1","possibly","yes","no","no","no","no","possibly","yes","no","yes","a lot of problems","proceed according the plan, everybody has to to something","1","na","1","55","200","200","0","na","1","didn't get the net back","0","60","0","na","na","1","velocity <0,1 m/s, unusual data (m: 2/3/7, s: 127,1/1698,46/278,06)","0","0.0157","0.0018","0.0252","na","na","na","na","na"
"austria_verified_data_plasticpirates_autumn2022.xlsx","at_6372","austria","institute of waste management and circularity (abf-boku)","anna noichl; magdalena kraml","anna.noichl@boku.ac.at; magdalena.kraml@boku.ac.at","na","autumn 2022",2022,"jugendpaket innviertl","berufsförderungsinstitut oö",1,"na","1",1,"2022-11-10",48.25968,13.03402,"braunau am inn","oberösterreich","enknach / inn","danube","10","na","1","na","1","possibly","yes","no","no","no","no","no","no","no","no","no problems","narrowing the area of sampling and the calculations","1","na","1","60","11.21","11.33","1","na","1","na","1","60","1","na","na","1","na","1","0.258231117","0.194514686","0.306091215","na","na","na","na","na"
"austria_verified_data_plasticpirates_autumn2022.xlsx","at_6382","austria","institute of waste management and circularity (abf-boku)","anna noichl; magdalena kraml","anna.noichl@boku.ac.at; magdalena.kraml@boku.ac.at","na","autumn 2022",2022,"future team hak tamsweg","hak tamsweg",1,"na","1",1,"2022-11-08",47.1182828,13.8141908,"tamsweg","salzburg","mur","danube","20","na","1","na","1","yes","yes","possibly","yes","no","no","possibly","no","yes","no","no problems","doing the interviews and record the others","1","na","1","60","27","27","4","na","1","na","1","60","0","na","na","1","na","1","0.64516129","0.606060606","0.625","na","na","na","na","na"
"austria_verified_data_plasticpirates_autumn2022.xlsx","at_6393","austria","institute of waste management and circularity (abf-boku)","anna noichl; magdalena kraml","anna.noichl@boku.ac.at; magdalena.kraml@boku.ac.at","na","autumn 2022",2022,"hlsp villach","höhere lehranstalt für sozialbetreuung und pflege",1,"na","1",1,"2022-11-09",46.58300655,13.84115275,"villach","kärnten","gail","danube","38","na","1","na","1","no","yes","no","no","no","no","no","no","no","no","no problems","to reach the waste","1","na","1","30","21","7","0","na","1","sampling period unknown, the sample was removed from the net into a bag by the group. but the sampling bag broken when it was received at abf-boku. therefore no microplastic analyis was performed","0","na","na","na","na","1","velocity >1m/s","0","2.283105023","1.722652885","1.834862385","na","na","na","na","na"
"austria_verified_data_plasticpirates_autumn2022.xlsx","at_6414","austria","institute of waste management and circularity (abf-boku)","anna noichl; magdalena kraml","anna.noichl@boku.ac.at; magdalena.kraml@boku.ac.at","na","autumn 2022",2022,"3dimensional","europagymnasium auhof",1,"na","1",1,"2022-11-11",48.2254453,14.3161032,"linz","oberösterreich","donau","danube","26","na","1","no photos, where there can be said, where the waste comes from","0","no","possibly","possibly","no","possibly","yes","possibly","yes","no","no","some problems","na","1","na","1","60","180","30","0","na","1","na","1","60","0","na","na","1","na","1","0.272727273","0.272727273","0.272727273","na","na","na","na","na"
"austria_verified_data_plasticpirates_autumn2022.xlsx","at_6429","austria","institute of waste management and circularity (abf-boku)","anna noichl; magdalena kraml","anna.noichl@boku.ac.at; magdalena.kraml@boku.ac.at","na","autumn 2022",2022,"bg9","bg9 wasagasse",1,"na","1",1,"2022-11-08",48.211082,16.439735,"wien stadlau","wien","donau","danube","20","na","0","na","na","na","na","na","na","na","na","na","na","na","na","na","na","0","na","na","na","na","na","na","na","1","we did get the net back, but there where no information, how long the net stayed in the water","0","na","na","na","na","0","na","na","na","na","na","na","na","na","na","na"
"austria_verified_data_plasticpirates_autumn2022.xlsx","at_6439","austria","institute of waste management and circularity (abf-boku)","anna noichl; magdalena kraml","anna.noichl@boku.ac.at; magdalena.kraml@boku.ac.at","na","autumn 2022",2022,"sperlinge","sperlgymnasium",1,"na","1",1,"2022-11-10",48.2294063,16.4128353,"wien kaisermühlen","wien","neue donau","danube","18","na","1","na","1","no","yes","possibly","no","na","yes","no","no","yes","no","a lot of problems","na","1","floating waste was not counted","0","60","250","na","na","na","1","sampling period unknown","0","na","na","na","na","1","na","1","0.217391304","0.222222222","0.181818182","na","na","na","na","na"
