file source,DatasetID,MicroplasticID,Scientist,Photo,Colour,SizeMM,Type,FTIR_Plastic,"FTIR_Plastic_Probability score >0,4",FTIR_Polymer,"FTIR_Polymer_Probability score >0,4",FTIR_Polymer_full,FTIR_Polymer_standardised,Match FTIR %,FTIR_MethodUsed,Info
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6270,086_6270_1,anna noichl; magdalena kraml,"win_20230217_11_46_18_pro,jpg",multicolour,6.672,films,no,yes,na,pe,polyethylene,polyethylene,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6270,086_6270_2,anna noichl; magdalena kraml,"win_20230217_11_48_54_pro,jpg",yellow,1.43,fragments,no,yes,na,pvc,polyvinyl chloride,polychlorinated polymer,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6270,086_6270_3,anna noichl; magdalena kraml,"win_20230217_11_52_45_pro,jpg",white,1.48,films,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6270,086_6270_4,anna noichl; magdalena kraml,"win_20230217_11_56_53_pro,jpg",yellow,0.543,fragments,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6270,086_6270_5,anna noichl; magdalena kraml,"win_20230217_13_33_16_pro,jpg",brown,1.452,fragments,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6270,086_6270_6,anna noichl; magdalena kraml,"win_20230217_13_35_07_pro,jpg",yellow,3.214,films,no,yes,na,pvc,polyvinyl chloride,polychlorinated polymer,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6270,086_6270_7,anna noichl; magdalena kraml,"win_20230217_13_42_26_pro,jpg",yellow,0.874,films,no,yes,na,pvc,polyvinyl chloride,polychlorinated polymer,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6270,086_6270_8,anna noichl; magdalena kraml,"win_20230217_13_44_55_pro,jpg",white,0.692,fragments,no,yes,na,pvc,polyvinyl chloride,polychlorinated polymer,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6270,086_6270_9,anna noichl; magdalena kraml,"win_20230217_13_49_17_pro,jpg",yellow,3.234,fragments,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6270,086_6270_10,anna noichl; magdalena kraml,"win_20230217_13_53_24_pro,jpg",white,1.316,fragments,no,yes,na,pvc,polyvinyl chloride,polychlorinated polymer,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6270,086_6270_11,anna noichl; magdalena kraml,"win_20230217_13_57_44_pro,jpg",yellow,0.713,fragments,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6270,086_6270_12,anna noichl; magdalena kraml,"win_20230217_14_02_42_pro,jpg",white,0.982,fragments,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
