file_name,sampling_group,(meta)data_field,unit,format,values,info
Floating_data,general,file source,NA,string,text,name of original data file
Floating_data,general,DatasetID,NA,string,text; acronym of country and unique number,"unique ID of the dataset, as acronym of the country followed by a unique number (submission ID of Plastic Pirates website)"
Floating_data,general,CountryResponsible,NA,string,text,country of partner institute responsible for the dataset
Floating_data,general,ResearchInstituteResponsible,NA,string,text,Plastic Pirates partner institute(s) responsible for the dataset
Floating_data,general,PersonResponsible,NA,string,text,expert(s) responsible for the dataset
Floating_data,general,PersonContact,NA,string,text,email of the expert(s)
Floating_data,general,GeneralCommentDataset,NA,string,text,information about the dataset or sampling
Floating_data,general,SamplingCampaign,NA,string,season and year,Plastic Pirates sampling campaign for which the data were collected (this could be different than the actual year in which the sampling was done)
Floating_data,general,SamplingYear,NA,date,YYYY,year in which the data were collected
Floating_data,general,SamplingTeamName,NA,string,text,name of the student group collecting the data
Floating_data,general,SamplingInstitution,NA,string,text,name of the institute of the student group
Floating_data,general,SamplingAttempted,NA,binary,"0, 1",sampling has been attempted (1) or not (0)
Floating_data,general,DatasetReasonDisqualified,NA,string,text,reason why the dataset has been disqualified
Floating_data,general,DatasetQualified,NA,binary,"0, 1",data are considered as qualified (1) or not (0)
Floating_data,general,SamplingOnlineOnWebsite,NA,binary,"0, 1",data have been uploaded to the Plastic Pirates website (1) or not (0)
Floating_data,general,SamplingDate,NA,date,YYYY-MM-DD (ISO 8601),date of sampling by students
Floating_data,general,SamplingCoordinatesLatitude,degrees,number,decimal number,latitude of sampling location
Floating_data,general,SamplingCoordinatesLongitude,degrees,number,decimal number,longitude of sampling location
Floating_data,general,SamplingPlace,NA,string,text,closest place to the sampling location
Floating_data,general,SamplingRegion,NA,string,text,region the sampling location belongs to
Floating_data,general,SamplingRiver,NA,string,text,name of river or stream sampled
Floating_data,general,SamplingRiverSystem,NA,string,text,name of river system the river or stream belongs to
Floating_data,general,SamplingParticipants,NA,number,number,number of students that have sampled
Floating_data,general,SamplingComment,NA,string,text,more information on the sampling
Floating_data,D,ReporterTeam_AttemptedSampling,NA,binary,"0, 1",sampling for group D has been attempted (1) or not (0)
Floating_data,D,ReporterTeam_DisqualifiedReason,NA,string,text,reason why the data of group D has been disqualified
Floating_data,D,ReporterTeam_Qualified,NA,binary,"0, 1",data of group D are considered as qualified (1) or not (0)
Floating_data,D,ReporterTeam_Results_SourceResidents,NA,string,"no, possibly, yes",possible source of the litter
Floating_data,D,ReporterTeam_Results_SourceVisitors,NA,string,"no, possibly, yes",possible source of the litter
Floating_data,D,ReporterTeam_Results_SourceFlyTippers,NA,string,"no, possibly, yes",possible source of the litter
Floating_data,D,ReporterTeam_Results_SourceIndustry,NA,string,"no, possibly, yes",possible source of the litter
Floating_data,D,ReporterTeam_Results_SourceAgriculture,NA,string,"no, possibly, yes",possible source of the litter
Floating_data,D,ReporterTeam_Results_SourceShipping,NA,string,"no, possibly, yes",possible source of the litter
Floating_data,D,ReporterTeam_Results_SourceFishing,NA,string,"no, possibly, yes",possible source of the litter
Floating_data,D,ReporterTeam_Results_Weather_Rain,NA,binary,"no, yes",weather event has recently happened
Floating_data,D,ReporterTeam_Results_Weather_Storm,NA,binary,"no, yes",weather event has recently happened
Floating_data,D,ReporterTeam_Results_Weather_Heat,NA,binary,"no, yes",weather event has recently happened
Floating_data,D,ReporterTeam_Results_Problems_GroupC,NA,string,text,problems reported during sampling of group C
Floating_data,D,ReporterTeam_Results_Problems_BiggestProblems,NA,string,text,biggest problems reported during sampling of all groups
