No,Country,SamplingRiver,Corrected_river,Corrected_river_English,River_basin,Count of SamplingRiver,
1,austria,ager,Ager,Ager,Danube Basin,3,
2,austria,alm,Alm,Alm,Danube Basin,1,
3,austria,"almfluss oö, almtal",Alm,Alm River,Danube Basin,1,
4,austria,almkanal,Almkanal,Alm Canal,Danube Basin,1,
5,austria,alter rhein,Alter Rhein,Alter Rhein,Rhine Basin,1,
6,austria,braunau,Inn,Inn River,Danube Basin,1,
7,austria,bregenzerach,Bregenzer Ach,Bregenz Ach River,Rhine Basin,2,
8,austria,donau,Donau,Danube River,Danube Basin,12,
9,austria,donaukanal,Donaukanal,Danube Canal,Danube Basin,4,
10,austria,donnersbach,Donnersbach,Donnersbach,Danube Basin,1,
11,austria,dornbirner ache,Dornbirner Ach,Dornbirner Ach,Rhine Basin,1,
12,austria,eisbach,Schirningbach,Schirningbach,Danube Basin,1,
13,austria,enknach / inn,Enknach,Enknach,Danube Basin,1,
14,austria,enns,Enns,Enns River,Danube Basin,2,
15,austria,feldaist,Feldaist,Feldaist River,Danube Basin,1,
16,austria,frutz,Frutz,Frutz,Rhine Basin,1,
17,austria,gail,Gail,Gail River,Danube Basin,2,
18,austria,glan,Glan,Glan River,Danube Basin,3,
19,austria,grafenbach,Grafenbach,Grafenbach,Danube Basin,1,
20,austria,große rodl,Große Rodl,Rodl River,Danube Basin,1,
21,austria,gütenbach,Gütenbach,Gütenbach,Danube Basin,1,
22,austria,halterbach,Halterbach,Halterbach,Danube Basin,2,
23,austria,hörschinger bach,Hörschinger Bach,Hörschinger Bach,Danube Basin,1,
24,austria,inn,Inn,Inn River,Danube Basin,6,
25,austria,isel,Isel,Isel River,Danube Basin,4,
26,austria,klausbach,Klausbach,Klausbach,Danube Basin,1,
27,austria,klausenbach,Klausenbach,Klausenbach,Danube Basin,1,
28,austria,kleine tulln,Kleine Tulln,Little Tulln,Danube Basin,1,
29,austria,kleine ybbs,Kleine Ybbs,Little Ybbs,Danube Basin,1,
30,austria,lainsitz,Lainsitz,Lužnice River,Elbe Basin,3,
31,austria,langwiesenbach,Langwiesenbach,Langwiesen Brook,Danube Basin,1,
32,austria,lebachbach/fuschler ache,Fuschler Ache,Fuschl Ache,Danube Basin,1,
33,austria,leitha,Leitha,Leitha River,Danube Basin,1,
34,austria,liesing,Liesing,Liesing River,Danube Basin,9,
35,austria,liesingbach,Liesing,Liesing River,Danube Basin,2,
36,austria,löffelmacherbach,Löffelmacherbach,Löffelmacherbach,Danube Basin,1,
37,austria,mettmacher ache,Mettmacher Ache,Mettmacher Ache,Danube Basin,1,
38,austria,mödlingbach,Mödlingbach,Mödlingbach,Danube Basin,2,
39,austria,mühlbach,Mühlbach,Mühlbach,Danube Basin,1,
40,austria,"mühlwasser, donau",Mühlwasser (Donau),Mühlwasser,Danube Basin,3,
41,austria,mur,Mur,Mur River,Danube Basin,11,
42,austria,neue donau,Neue Donau,New Danube,Danube Basin,5,
43,austria,pielach,Pielach,Pielach River,Danube Basin,1,
44,austria,raab,Raab,Raab River,Danube Basin,1,
45,austria,rosenwasser,Rosenwasser,Heustadelwasser,Danube Basin,1,
46,austria,safen,Safen,Safen River,Danube Basin,1,
47,austria,salzach,Salzach,Salzach River,Danube Basin,1,
48,austria,sattnitz,Sattnitz,Sattnitz River,Danube Basin,3,
49,austria,schreiberbach,Schreiberbach,Schreiberbach,Danube Basin,1,
50,austria,schwechat,Schwechat,Schwechat River,Danube Basin,1,
51,austria,steyr,Steyr,Steyr River,Danube Basin,1,
52,austria,sulm,Sulm,Sulm River,Danube Basin,2,
53,austria,thaya,Thaya,Thaya River,Danube Basin,2,
54,austria,tiebel,Tiebel,Tiebel River,Danube Basin,1,
55,austria,traisen,Traisen,Traisen River,Danube Basin,1,
56,austria,traun,Traun,Traun River,Danube Basin,4,
57,austria,warme fischa,Warme Fischa,Warm Fischa River,Danube Basin,1,
58,austria,weizbach,Weizbach,Weizbach,Danube Basin,1,
59,austria,wien(fluss),Wienfluss,Wien River,Danube Basin,1,
60,austria,wienfluss,Wienfluss,Wien River,Danube Basin,4,
61,austria,ziller,Ziller,Ziller River,Danube Basin,1,
62,austria,zwettl,Zwettl River,Zwettl River,Danube Basin,1,
63,belgium,de dommel,Dommel,Dommel River,Meuse Basin,3,
64,belgium,de grote nete,Grote Nete,Grote Nete,Scheldt Basin,1,
65,belgium,de heulebeek,Heulebeek,Heule Brook,Scheldt Basin,2,
66,belgium,de kleine aa,Kleine Aa,Kleine Aa,Meuse Basin,1,
67,belgium,de kleine nete,Kleine Nete,Kleine Nete,Scheldt Basin,2,
68,belgium,de mandel,Mandel,Mandel River,Scheldt Basin,1,
69,belgium,dender,Dender,Dender River,Scheldt Basin,1,
70,belgium,dommel,Dommel,Dommel River,Meuse Basin,4,
71,belgium,durme,Durme,Durme River,Scheldt Basin,1,
72,belgium,gouwelozedijk,Gouwelozedijk,Gouwelozedijk,Scheldt Basin,1,
73,belgium,groot schijn,Groot Schijn,Great Schijn River,Scheldt Basin,1,
74,belgium,houtdok,Houtdok,Hout Dock,Scheldt Basin,1,
75,belgium,kleine aa,Kleine Aa,Kleine Aa,Meuse Basin,2,
76,belgium,molenbeek,Molenbeek,Mill Brook,Scheldt Basin,1,
77,belgium,scheldt,Schelde,Scheldt River,Scheldt Basin,7,
78,belgium,sluiskreek,Sluiskreek,Lock Creek,Scheldt Basin,1,
79,belgium,stenensluisvaart,Stenensluisvaart,Stone Lock Canal,Scheldt Basin,1,
80,belgium,the blankaart,Blankaart,Blankaart (pond/reserve),Yser Basin,1,
81,belgium,the dommel,Dommel,Dommel River,Meuse Basin,2,
82,belgium,the duivelsbeek,Duivelsbeek,Duivelsbeek Canal,Scheldt Basin,1,
83,belgium,the kerkebeek,Kerkebeek,Kerkebeek Canal,Scheldt Basin,1,
84,belgium,the kleine nete,Kleine Nete,Kleine Nete,Scheldt Basin,1,
85,belgium,the koolhofput,Koolhofput,Nieuwpoort–Dunkirk Canal,Yser Basin,1,
86,belgium,the mandel,Mandel,Mandel River,Scheldt Basin,1,
87,belgium,the moervaart,Moervaart,Moervaart Canal,Scheldt Basin,1,
88,belgium,the molenvijver,Molenvijver,Molenvijver,Scheldt Basin,1,
89,belgium,the stenensluisvaart,Stenensluisvaart,Stenensluisvaart,Yser Basin,1,
90,belgium,the woluwe,Woluwe,Woluwe River,Scheldt Basin,2,
91,belgium,the yser,IJzer,Yser River,Yser Basin,3,
92,belgium,yzer,IJzer,Yser River,Yser Basin,4,
93,belgium,zenne,Zenne,Zenne River,Scheldt Basin,2,
94,bulgaria,the black sea,NA,NA,NA,10,
95,germany,aller,Aller,Aller River,Weser Basin,2,
96,germany,alster,Alster,Alster River,Elbe Basin,1,
97,germany,altmühl,Altmühl,Altmühl River,Danube Basin,1,
98,germany,apfelstädt,Apfelstädt,Apfelstädt,Elbe Basin,1,
99,germany,bode,Bode,Bode River,Elbe Basin,1,
100,germany,bornheimer bach,Bornheimer Bach,Bornheimer Bach,Rhine Basin,1,
101,germany,dalke,Dalke,Dalke,Ems Basin,1,
102,germany,deininghauser bach,Deininghauser Bach,Deininghauser Bach,Rhine Basin,1,
103,germany,dill,Dill,Dill River,Rhine Basin,2,
